2023-05-14_22-09-01,sad
2023-05-14_22-09-01,sad
2023-05-14_22-09-02,sad
2023-05-14_22-09-03,sad
2023-05-14_22-09-04,sad
2023-05-14_22-10-04,angry
2023-05-14_22-10-04,angry
2023-05-14_22-10-05,angry
2023-05-14_22-10-06,angry
2023-05-14_22-10-07,happy
2023-05-14_22-13-41,neutral
2023-05-14_22-13-41,angry
2023-05-14_22-13-42,happy
2023-05-14_22-13-43,happy
2023-05-14_22-13-44,happy
2023-05-14_22-18-47,angry
2023-05-14_22-18-47,angry
2023-05-14_22-18-48,angry
2023-05-14_22-18-49,sad
2023-05-14_22-18-50,happy
2023-05-14_22-24-24,neutral
2023-05-14_22-24-24,neutral
2023-05-14_22-24-25,neutral
2023-05-14_22-24-26,neutral
2023-05-14_22-24-27,neutral
2023-05-14_22-28-51,neutral
2023-05-14_22-28-51,neutral
2023-05-14_22-28-52,neutral
2023-05-14_22-28-53,neutral
2023-05-14_22-28-54,neutral
2023-05-14_22-29-06,happy
2023-05-14_22-29-07,happy
2023-05-14_22-29-08,happy
2023-05-14_22-29-09,happy
2023-05-14_22-29-10,happy
2023-05-14_22-30-27,neutral
2023-05-14_22-30-27,neutral
2023-05-14_22-30-28,neutral
2023-05-14_22-30-29,neutral
2023-05-14_22-30-30,neutral
2023-05-14_22-37-20,sad
2023-05-14_22-37-20,sad
2023-05-14_22-37-21,sad
2023-05-14_22-42-15,sad
2023-05-14_22-42-15,angry
2023-05-14_22-42-16,angry
2023-05-14_22-57-42,neutral
2023-05-14_22-57-43,neutral
2023-05-14_22-57-44,neutral
2023-05-14_22-57-45,neutral
2023-05-14_22-58-14,neutral
2023-05-14_22-58-15,neutral
2023-05-14_22-58-16,neutral
2023-05-14_22-58-17,neutral
2023-05-14_22-59-42,sad
2023-05-14_23-00-47,sad
2023-05-14_23-00-50,sad
2023-05-14_23-00-53,sad
2023-05-14_23-00-56,sad
2023-05-14_23-00-59,sad
2023-05-14_23-01-02,angry
2023-05-14_23-01-05,sad
2023-05-14_23-01-08,sad
2023-05-15_00-08-18,sad
2023-05-15_00-08-21,sad
2023-05-15_00-08-24,sad
2023-05-15_00-08-27,sad
2023-05-15_00-08-27,sad
2023-05-15_00-08-30,sad
2023-05-15_00-08-33,sad
2023-05-15_00-08-36,neutral
2023-05-20_15-58-37,happy
2023-05-20_15-58-40,happy
2023-05-20_15-58-43,happy
2023-05-20_15-58-47,happy
2023-05-20_15-58-50,happy
2023-05-20_15-58-53,angry
2023-05-20_15-58-56,sad
2023-05-20_15-58-56,surprise
2023-05-20_15-58-59,sad
2023-05-20_15-58-59,fear
2023-05-20_15-59-02,sad
2023-05-20_15-59-02,surprise
2023-05-20_16-37-06,sad
2023-05-20_16-37-09,sad
2023-05-20_16-37-12,sad
2023-05-20_16-37-15,happy
2023-05-20_16-37-18,happy
2023-05-20_16-37-21,happy
2023-05-20_16-37-24,happy
2023-05-20_16-37-27,happy
2023-05-20_16-40-00,angry
2023-05-20_16-40-03,sad
2023-05-20_16-40-06,happy
2023-05-20_16-40-10,sad
2023-05-20_16-40-13,happy
2023-05-20_16-40-16,happy
2023-05-20_16-45-24,neutral
2023-05-20_16-45-27,sad
2023-05-20_16-45-30,neutral
2023-05-20_16-45-33,sad
2023-05-20_16-45-36,happy
2023-05-20_16-45-39,happy
2023-05-20_16-45-43,happy
2023-05-20_16-45-46,angry
2023-05-20_17-01-51,neutral
2023-05-20_17-01-51,neutral
2023-05-20_17-01-54,neutral
2023-05-20_17-01-57,neutral
2023-05-20_17-02-00,neutral
2023-05-20_17-02-03,neutral
2023-05-20_17-02-06,happy
2023-05-20_17-02-09,neutral
2023-05-20_17-02-12,neutral
2023-05-20_17-07-56,neutral
2023-05-20_17-07-56,neutral
2023-05-20_17-07-59,neutral
2023-05-20_17-08-02,happy
2023-05-20_17-08-05,happy
2023-05-20_17-08-08,neutral
2023-05-20_17-08-11,neutral
2023-05-20_17-08-14,neutral
2023-05-20_17-08-17,neutral
2023-05-20_17-19-48,neutral
2023-05-20_17-19-48,neutral
2023-05-20_17-19-51,neutral
2023-05-20_17-19-54,happy
2023-05-20_17-19-57,happy
2023-05-20_17-20-00,sad
2023-05-20_17-20-03,sad
2023-05-20_17-20-06,sad
2023-05-20_17-20-09,sad
2023-05-20_17-27-55,happy
2023-05-20_17-27-55,happy
2023-05-20_17-27-58,happy
2023-05-20_17-28-01,happy
2023-05-20_17-28-04,happy
2023-05-20_17-28-07,neutral
2023-05-20_17-28-10,neutral
2023-05-20_17-28-13,sad
2023-05-20_17-29-30,happy
2023-05-20_17-29-36,angry
2023-05-20_17-29-39,neutral
2023-05-20_17-29-42,neutral
2023-05-20_17-34-19,neutral
2023-05-20_17-34-19,neutral
2023-05-20_17-34-22,neutral
2023-05-20_17-34-25,neutral
2023-05-20_17-34-28,neutral
2023-05-20_17-36-02,sad
2023-05-20_17-36-05,sad
2023-05-20_17-36-08,sad
2023-05-20_17-36-11,sad
2023-05-20_17-36-14,sad
2023-05-20_17-36-17,happy
2023-05-20_17-36-20,happy
2023-05-20_17-36-23,neutral
2023-05-20_17-37-47,neutral
2023-05-20_17-37-47,neutral
2023-05-20_17-37-50,neutral
2023-05-20_17-37-53,neutral
2023-05-20_17-37-56,sad
2023-05-20_17-37-59,neutral
2023-05-20_17-41-01,neutral
2023-05-20_17-41-01,neutral
2023-05-20_17-41-04,neutral
2023-05-20_17-41-07,neutral
2023-05-20_17-41-10,neutral
2023-05-20_17-41-13,neutral
2023-05-20_17-41-16,neutral
2023-05-20_17-41-19,neutral
2023-05-20_17-41-22,neutral
2023-05-20_17-41-50,neutral
2023-05-20_17-41-50,neutral
2023-05-20_17-41-53,neutral
2023-05-20_17-41-56,neutral
2023-05-20_17-41-59,neutral
2023-05-20_17-42-02,neutral
2023-05-20_17-42-05,neutral
2023-05-20_17-42-08,neutral
2023-05-20_17-42-11,neutral
2023-05-20_17-43-00,neutral
2023-05-20_17-43-00,neutral
2023-05-20_17-43-03,neutral
2023-05-20_17-43-07,neutral
2023-05-20_17-43-10,neutral
2023-05-20_17-43-13,neutral
2023-05-20_17-43-16,sad
2023-05-20_17-43-19,sad
2023-05-20_17-43-22,surprise
2023-05-20_17-50-20,fear
2023-05-20_17-50-20,neutral
2023-05-20_17-50-23,neutral
2023-05-20_17-50-26,neutral
2023-05-20_17-50-29,fear
2023-05-20_17-50-32,fear
2023-05-20_17-50-35,neutral
2023-05-20_17-50-38,neutral
2023-05-20_17-50-41,neutral
2023-05-20_18-17-20,fear
2023-05-20_18-17-20,fear
2023-05-20_18-17-23,neutral
2023-05-20_18-17-26,fear
2023-05-20_18-17-29,fear
2023-05-20_18-17-32,neutral
2023-05-20_18-17-35,neutral
2023-05-20_18-17-38,neutral
2023-05-20_18-17-38,neutral
2023-05-20_18-17-41,neutral
2023-05-20_18-52-36,happy
2023-05-20_18-52-39,happy
2023-05-20_19-49-04,neutral
2023-05-20_19-49-04,neutral
2023-05-20_19-49-07,sad
2023-05-20_19-49-10,neutral
2023-05-23_10-56-34,neutral
2023-05-23_10-56-34,neutral
2023-05-23_10-56-37,neutral
2023-05-23_10-56-40,neutral
